Date,Open,High,Low,Close,Volume,EMA_12,EMA_26,MACD,Signal,RSI,CCI,ADX,Sentiment Average
2020-07-09,26094.919921875,26103.279296875,25523.509765625,25706.08984375,387610000,25858.9594754958,25733.630064906625,125.3294105891764,174.86508425922142,45.93076998596224,-10.218951956548164,51.29258114883279,-0.5029587829485536
2020-07-10,25690.349609375,26101.3203125,25637.5,26075.30078125,338170000,25892.242753304137,25758.939006857985,133.30374644615222,166.55281669660758,52.14290524780383,40.37554549477415,56.41939642894539,-0.1681001496811708
2020-07-13,26225.0703125,26639.08984375,26044.23046875,26085.80078125,425320000,25922.020911449654,25783.15099014628,138.8699213033724,161.01623761796054,50.6594166819084,118.26513998345828,58.84573035784524,-0.2095517435899147
2020-07-14,26044.169921875,26690.51953125,25994.98046875,26642.58984375,401640000,26032.87767026509,25846.81312745026,186.06454281483093,166.02589865733464,54.82743503643014,153.54603456554014,57.99113683174381,-0.1547040067174855
2020-07-15,27009.810546875,27071.330078125,26692.48046875,26870.099609375,384900000,26161.68104551277,25922.61212611135,239.0689194014194,180.6345028061516,65.6289652736339,208.0802554858449,59.04715624363884,-0.4991702091481004
2020-07-16,26746.5703125,26879.16015625,26590.009765625,26734.7109375,287330000,26249.83949043388,25982.767593621626,267.0718968122601,197.9219816073733,61.26067031478958,138.97007780701222,56.50508798800826,-0.2574713865295052
2020-07-17,26774.619140625,26808.4296875,26619.880859375,26671.94921875,296460000,26314.779448636364,26033.818084371876,280.96136426449084,214.52985813879684,72.23593781627,109.67859258076734,54.37702934814377,-0.2633047321578488
2020-07-20,26660.2890625,26765.01953125,26504.19921875,26680.869140625,309390000,26371.100939711538,26081.747792242477,289.3531474690644,229.4945160048504,67.20545961437571,85.63269360374838,51.899856885699045,0.0071110039328535
2020-07-21,26833.140625,27025.380859375,26766.220703125,26840.400390625,364930000,26443.300855236685,26137.94428101155,305.35657422513395,244.6669276489071,66.59581528926037,108.42544772859092,48.88355313507749,-0.1831238345642175
2020-07-22,26824.560546875,27035.240234375,26794.189453125,27005.83984375,404340000,26529.84531500797,26202.2328412144,327.6124737935679,261.2560368778393,69.96183021101065,102.591667122754,45.24553449101409,-0.2048507394159541
2020-07-23,26955.970703125,26973.849609375,26560.0390625,26652.330078125,419800000,26548.68912471828,26235.57337728185,313.11574743643,271.62797898955745,61.97564299068282,55.34519578665221,43.289042327790845,-0.2827407007034008
2020-07-24,26533.41015625,26625.69921875,26402.859375,26469.890625,494170000,26536.566278607777,26252.93021044616,283.636068161617,274.02959682396937,52.88685383038095,8.349444603591563,40.61511077506,0.1843889953897279
2020-07-27,26447.669921875,26625.4609375,26426.919921875,26584.76953125,400930000,26543.98216362966,26277.510900876077,266.4712627535846,272.51793000989244,62.03725140569426,10.72729969929842,39.01354585731897,-0.2023128502070904
2020-07-28,26529.44921875,26556.83984375,26361.7109375,26379.279296875,361090000,26518.643261052017,26285.0493005797,233.59396047231712,264.7331361023774,55.35427708008488,-24.62366932769264,37.85181321801611,-0.2069956876118393
2020-07-29,26388.439453125,26602.44921875,26375.390625,26539.5703125,347580000,26521.862807428628,26303.902708870093,217.9600985585348,255.37852859360888,65.36278819942947,-24.27232166230662,36.44904134804924,-0.1852703456367765
2020-07-30,26367.419921875,26374.9296875,25992.279296875,26313.650390625,351540000,26489.830127920377,26304.624759370457,185.2053685499195,241.343896584871,54.63829049719615,-134.29817298449137,32.59623257913816,-0.5322455627222856
2020-07-31,26409.330078125,26440.01953125,26013.58984375,26428.3203125,488050000,26480.367079394167,26313.78739293561,166.57968645855726,226.39105455960828,56.40573268695229,-112.8699925645102,35.290840270457366,-0.3889400216440359
2020-08-03,26542.3203125,26707.259765625,26534.380859375,26664.400390625,439380000,26508.679896506605,26339.75872609779,168.92117040881567,214.8970777294498,50.46349600589052,6.673559005689346,40.3284572177961,-0.101174237493139
2020-08-04,26664.609375,26832.720703125,26597.8203125,26828.470703125,346350000,26557.878482140204,26375.95961328499,181.91886885521308,208.30143595460248,49.09082998341535,58.32188060032453,41.60793496424405,-0.1318912668661637
2020-08-05,26924.779296875,27221.669921875,26924.779296875,27201.51953125,366000000,26656.90018200325,26437.11219980092,219.78798220233148,210.5987452041483,59.23623294817792,170.15752420384126,39.95790195215998,-0.3873502904815333
2020-08-06,27170.8203125,27394.099609375,27145.25,27386.98046875,322460000,26769.220226118134,26507.472812315667,261.7474138024663,220.8284789238119,63.49242853099349,177.92098543226007,38.93737154597142,-0.4158239297960934
2020-08-07,27321.6796875,27456.240234375,27223.55078125,27433.48046875,321170000,26871.41410959996,26576.065972051543,295.34813754841525,235.73241064873255,64.00295658228391,150.55441994968407,38.37263711916476,-0.0978026241064072
2020-08-10,27488.2109375,27803.859375,27488.2109375,27791.439453125,360340000,27012.95647014227,26666.093637316244,346.86283282602744,257.95849508419155,66.47815104892834,169.79697502642972,36.360496725810776,-0.2169964044139935
2020-08-11,27961.640625,28154.880859375,27624.509765625,27686.91015625,428220000,27116.641652620383,26741.70967575578,374.9319768646019,281.35319144027363,62.05499190360099,148.35023155157594,36.00873399025497,-0.4559913456439972
2020-08-12,27860.240234375,28043.890625,27843.3203125,27976.83984375,340210000,27248.97983587109,26833.20079931091,415.7790365601832,308.23836046425555,73.983727185983,130.54896084999288,33.99016613187681,-0.1626484411006623
2020-08-13,27922.509765625,27986.099609375,27789.779296875,27896.720703125,360160000,27348.63227698708,26911.980051445287,436.6522255417949,333.9211334797634,76.83073291018458,102.35093360611656,32.52165421943713,-0.5068593227437564
2020-08-14,27828.9296875,27977.810546875,27759.390625,27931.01953125,275540000,27438.23031610445,26987.46445735675,450.76585874770535,357.2900785333518,76.10663846729548,88.32767970575809,31.066398251853403,-0.6073091324757446
2020-08-17,27970.05078125,27999.810546875,27816.400390625,27844.91015625,286860000,27500.796445357617,27050.978953571062,449.8174917865508,375.7955611839917,79.80152517750184,77.42479053114641,29.42247571184919,-0.3828989697450941
2020-08-18,27853.48046875,27891.119140625,27668.7890625,27778.0703125,276170000,27543.45396337952,27104.83757275099,438.6163906285328,388.3597270728999,76.17800874207573,57.46314414316069,27.895293078585443,-0.2869313975626772
2020-08-19,27811.259765625,27920.419921875,27647.669921875,27692.880859375,311460000,27566.442716609592,27148.396334723137,418.0463818864555,394.29705803561103,80.99666403300851,46.46634968835637,26.79299232498509,-0.1504893570461056
2020-08-20,27622.6796875,27781.4609375,27526.25,27739.73046875,304550000,27593.10237078504,27192.19886316957,400.9035076154687,395.61834795158256,80.39915753330388,26.799952217017086,22.023604247112484,-0.3566882698131459
2020-08-21,27758.130859375,27959.48046875,27686.779296875,27930.330078125,372720000,27644.98355652965,27246.87524946257,398.1083070670829,396.1163397746827,79.97696769001656,55.63716392993752,18.85432243257923,0.097950438206846
2020-08-24,28077.580078125,28314.939453125,28041.75,28308.4609375,383880000,27747.056999755856,27325.51122635423,421.5457734016272,401.2022265000716,81.82002185289357,154.71419582788832,18.229647467326288,-0.2329327398290236
2020-08-25,28347.419921875,28400.740234375,28094.5703125,28248.439453125,338420000,27824.192761812646,27393.8762801891,430.3164816235476,407.02507752476686,76.00995323261702,159.10061705852826,19.952536424881465,-0.1255888736673764
2020-08-26,28257.880859375,28353.80078125,28153.91015625,28331.919921875,327070000,27902.30463259147,27463.36099438805,438.9436382034146,413.4087896604965,74.72942788065896,154.52110058294667,21.91204301225305,-0.1547255781789621
2020-08-27,28384.0703125,28634.220703125,28363.9296875,28492.26953125,404340000,27993.06846315432,27539.57644156301,453.4920215913044,421.4254360466581,76.15060743119125,178.37304723891316,24.5502954076426,-0.3121352849098352
2020-08-28,28601.2890625,28733.349609375,28487.98046875,28653.869140625,369740000,28094.730105842114,27622.11664149353,472.61346434858206,431.6630417070429,73.58882858241806,160.89913049306764,27.52959210375938,-0.1919226988863487
2020-08-31,28643.66015625,28643.66015625,28363.55078125,28430.05078125,517320000,28146.317902058712,27681.963614808825,464.3542872498874,438.2012908156118,69.08095595344602,99.20942543991116,28.364509815175374,-0.2274221200495958
2020-09-01,28439.609375,28659.259765625,28290.720703125,28645.66015625,423410000,28223.139787318916,27753.348543804463,469.7912435144463,444.5192813553787,67.85410392665571,93.74126623073128,31.82700027178438,-0.192301657050848
2020-09-02,28736.7890625,29162.880859375,28713.529296875,29100.5,539510000,28358.118281577543,27853.13754055969,504.9807410178546,456.611573287874,76.77759134406925,160.6320535696533,36.15384240846017,-0.4679293266751549
2020-09-03,29090.69921875,29199.349609375,28074.759765625,28292.73046875,650080000,28348.058618065614,27885.699979684898,462.358638380716,457.7609863064424,55.986199121057,58.41147009680495,40.44295434715544,-0.2664495129138231
2020-09-04,28341.05078125,28539.75,27664.6796875,28133.310546875,694640000,28315.02045326706,27904.04150318046,410.9789500866027,448.40457906247445,54.65986027456572,-31.340555407856503,45.34093496458532,-0.2200674450557146
2020-09-08,27925.23046875,27925.23046875,27464.900390625,27500.890625,580860000,28189.769710456745,27874.178475167093,315.5912352896521,421.8419103079101,46.21349327897459,-129.72219627563558,50.363214905938754,-0.4879597517160269
2020-09-09,27711.7109375,28206.2109375,27704.5390625,27940.470703125,460590000,28151.41601702109,27879.08901057138,272.3270064497083,391.9389295362697,53.08370365541219,-68.2913072162039,55.5110027611076,-0.4857602858295043
2020-09-10,28022.509765625,28174.779296875,27447.080078125,27534.580078125,442850000,28056.518180267845,27853.569830390166,202.948349877679,354.1408136045516,47.654635687800415,-121.09171893534923,60.84011823054991,0.0184197050026234
2020-09-11,27613.859375,27828.8203125,27448.150390625,27665.640625,435330000,27996.383171765097,27839.649148509416,156.73402325568168,314.6594555347776,46.932196890295614,-127.13715163766814,63.44269284899216,-0.2639412548806932
2020-09-14,27718.740234375,28086.060546875,27718.740234375,27993.330078125,380750000,27995.913465051235,27851.032921073533,144.88054397770247,280.70367322336256,46.30435967689402,-57.91949745780972,63.21098841840784,-0.0297231419155231
2020-09-15,28139.759765625,28231.060546875,27931.44921875,27995.599609375,414520000,27995.865179562585,27861.74156465142,134.12361491116462,251.387661560923,46.99415055856686,-30.512798424622726,62.13752682819423,-0.1713668967668827
2020-09-16,28031.689453125,28364.76953125,28021.669921875,28032.380859375,416650000,28001.48297645681,27874.381512408723,127.10146404808256,226.53042205835493,46.398989789890194,-12.02068630476882,60.817313999290185,-0.2730570937342503
2020-09-17,27834.1796875,28056.7890625,27647.9296875,27901.98046875,437230000,27986.174898348065,27876.425879545117,109.74901880295148,203.17414140727425,42.85216950377556,-56.974734013161154,57.75141690561356,-0.1719035427603456
2020-09-18,27864.869140625,27946.689453125,27487.970703125,27657.419921875,698710000,27935.5972096599,27860.203216013997,75.39399364590645,177.6181118550007,38.1716127237318,-82.3890946457105,56.766751141113005,-0.2953232331201434
2020-09-21,27484.7109375,27484.7109375,26715.150390625,27147.69921875,523660000,27814.3821341353,27807.425142142583,6.956991992716212,143.4858878825438,35.74535102749391,-171.53324907255498,56.73583591783305,-0.2509450066136196
2020-09-22,27170.33984375,27333.08984375,26989.9296875,27288.1796875,420720000,27733.427911576026,27768.96251587276,-35.53460429673942,107.68178944668718,34.653895136974086,-134.61627641968417,53.30641372134636,-0.4378258498119456
2020-09-23,27413.599609375,27464.4609375,26716.119140625,26763.130859375,459470000,27584.15144200663,27694.456467243297,-110.30502523666657,64.08442651001644,23.989301284132797,-157.5916925323531,49.13763036608007,-0.6634329610637256
2020-09-24,26716.08984375,27094.849609375,26537.009765625,26815.439453125,447810000,27465.88805910176,27629.344095827124,-163.45603672536163,18.576333862940828,30.237601421772965,-157.66637474813552,45.15170300711823,-0.2138092282361218
2020-09-25,26694.509765625,27239.2890625,26635.380859375,27173.9609375,388900000,27420.976194239956,27595.612010025117,-174.63581578516096,-20.066096066679528,37.815407467824826,-95.16101857680304,39.91768522942163,-0.2673383266665041
2020-09-28,27362.140625,27722.599609375,27362.140625,27584.060546875,401860000,27446.066094645343,27594.75634608807,-148.69025144272746,-45.79092714188912,51.1195570042576,1.1547792309674376,36.95590364479353,0.2192226815968752
2020-09-29,27560.240234375,27605.599609375,27338.08984375,27452.66015625,303820000,27447.080565661447,27584.23070239636,-137.15013673491558,-64.06276906049442,42.83944125858447,-9.30526841034541,35.23406617822668,-0.0111018605530262
2020-09-30,27514.640625,28026.330078125,27511.060546875,27781.69921875,452550000,27498.5603584443,27598.85799990404,-100.29764145973604,-71.30974354034274,53.711187621103065,47.11431163109657,31.47789379498473,-0.303812342385451
2020-10-01,27940.630859375,28041.4609375,27669.259765625,27816.900390625,373450000,27547.535748010563,27615.00928810559,-67.47354009502669,-70.54250285127954,52.33893243567294,55.57778127931926,28.194382450846422,-0.1020017061382532
2020-10-02,27536.390625,27861.4296875,27382.939453125,27682.810546875,392770000,27568.34725552817,27620.03160356999,-51.68434804182107,-66.77087188938785,44.89263961347691,24.544282304683037,26.73071252131404,-0.3805837243456732
2020-10-05,27825.419921875,28162.640625,27825.419921875,28148.640625,318210000,27657.62315852384,27659.18782737962,-1.5646688557826565,-53.72963128266681,52.18412706553691,100.7824718715817,27.199380006655183,-0.2345735290471245
2020-10-06,28214.240234375,28354.48046875,27728.029296875,27772.759765625,435030000,27675.336482693245,27667.600563545944,7.735919147300592,-41.43652119667333,46.62178853127119,88.4876934201967,26.7786852816964,-0.2182585803998841
2020-10-07,27971.359375,28369.66015625,27971.359375,28303.4609375,328750000,27771.971014201976,27714.701331986984,57.26968221499192,-21.695280514340283,54.73122269094016,127.1201172333945,27.64186213425391,-0.291306434527916
2020-10-08,28348.859375,28459.130859375,28265.560546875,28425.509765625,314750000,27872.515437497823,27767.35380855276,105.16162894506124,3.6761013775400215,59.32063916421363,132.88389085251168,28.20731111740759,-0.085580414161086
2020-10-09,28533.609375,28676.2890625,28440.630859375,28586.900390625,324050000,27982.420814902005,27828.06096278033,154.35985212166997,33.81285152636601,69.07722060700519,136.55880927863635,28.09727898912473,-0.5339207959671816
2020-10-12,28671.119140625,28957.900390625,28659.669921875,28837.51953125,493680000,28113.97446357093,27902.83567155587,211.13879201505915,69.27803962410465,69.95450968870178,145.84979372090396,28.33144975906242,-0.1752193567476102
2020-10-13,28764.94921875,28808.83984375,28604.349609375,28679.810546875,526110000,28201.026168694632,27960.38936602396,240.63680267067684,103.54979223341908,77.26553374698128,111.41273847034472,28.785494198987237,-0.3893636677414179
2020-10-14,28731.30078125,28792.560546875,28461.73046875,28514.0,370800000,28249.17598889546,28001.397561133293,247.7784277621649,132.39551933916826,73.40684315267552,84.43444270736993,29.013688026222848,-0.1304895886116557
2020-10-15,28323.400390625,28535.849609375,28181.5390625,28494.19921875,328940000,28286.87187041154,28037.901387623417,248.97048278812508,155.71051202895964,70.06672263499192,45.71136496795614,30.484077467055176,-0.6351768041650454
2020-10-16,28570.720703125,28842.900390625,28570.720703125,28606.310546875,356140000,28336.01628217515,28080.0057697902,256.01051238494983,175.7705121001577,67.0851515555103,81.52248738575791,28.999814173904557,-0.3407478140933173
2020-10-19,28633.55078125,28711.9296875,28139.400390625,28195.419921875,358700000,28314.386072898204,28088.554966240925,225.83110665727872,185.7826310115819,61.35328379552369,13.9660647291254,26.069703382833524,0.1237906959528724
2020-10-20,28245.849609375,28575.029296875,28243.0390625,28308.7890625,350220000,28313.5249943754,28104.868603000858,208.6563913745449,190.35738308417453,58.62539568087794,12.143447801788277,26.94104442783159,-0.3851196220652623
2020-10-21,28270.66015625,28450.640625,28196.390625,28210.8203125,299420000,28297.72427408688,28112.71687777857,185.00739630830867,189.28738572900136,56.316421436754354,-20.078340511249664,27.17631437240814,-0.1513678610324859
2020-10-22,28197.419921875,28421.310546875,28040.1796875,28363.66015625,330320000,28307.86825595813,28131.30526877645,176.56298718167454,186.742506019536,60.85202371665041,-44.40171503214314,28.00068969769494,-0.5625567939132452
2020-10-23,28409.650390625,28436.51953125,28149.8203125,28335.5703125,347300000,28312.13011081072,28146.436012755978,165.69409805474425,182.53282442657763,53.46264777432226,-42.70650114018948,27.48728605605461,-0.1961227867286652
2020-10-26,28185.8203125,28185.8203125,27370.16015625,27685.380859375,404150000,28215.70714905138,28112.2837791722,103.42336987917952,166.710933517098,48.53072543502193,-233.94171822296627,28.23494318886256,-0.4259842059441975
2020-10-27,27651.1796875,27707.689453125,27457.9609375,27463.189453125,366400000,28099.93519583194,28064.20271798352,35.732477848421695,140.51524238336273,34.2352298835833,-231.62893041134075,28.073150223784136,-0.408998266276386
